Version,Graph Name,Threads,Event,Power,Iteration
PLP,belgium,36,dram,3.97952,1
PLP,belgium,36,package-1,29.7434,1
PLP,belgium,36,dram,3.65467,1
MPLP,belgium,36,package-0,25.6348,1
MPLP,belgium,36,dram,5.9101,1
MPLP,belgium,36,package-1,58.1969,1
MPLP,belgium,36,dram,6.61956,1
PLP,delaunay_n24,36,package-0,1238.79,1
PLP,delaunay_n24,36,dram,147.873,1
PLP,delaunay_n24,36,package-1,1167.92,1
PLP,delaunay_n24,36,dram,149.388,1
PLP,germany,36,package-0,252.498,1
PLP,germany,36,dram,25.8952,1
PLP,germany,36,package-1,250.193,1
PLP,germany,36,dram,30.9104,1
MPLP,delaunay_n24,36,package-0,262.75,1
MPLP,delaunay_n24,36,dram,54.6392,1
MPLP,delaunay_n24,36,package-1,236.213,1
MPLP,delaunay_n24,36,dram,43.2614,1
MPLP,germany,36,package-0,157.059,1
MPLP,germany,36,dram,30.2542,1
MPLP,germany,36,package-1,135.729,1
MPLP,germany,36,dram,24.9749,1
PLP,europe,36,package-0,1120.75,1
PLP,europe,36,dram,132.283,1
PLP,europe,36,package-1,1015.16,1
PLP,europe,36,dram,123.466,1
PLP,in-2004,36,package-0,39.4822,1
PLP,in-2004,36,dram,4.01108,1
PLP,in-2004,36,package-1,37.2743,1
PLP,in-2004,36,dram,3.42985,1
MPLP,in-2004,36,package-0,24.1803,1
MPLP,in-2004,36,dram,4.35091,1
MPLP,in-2004,36,package-1,37.4228,1
MPLP,in-2004,36,dram,3.62374,1
MPLP,europe,36,package-0,637.239,1
MPLP,europe,36,dram,126.26,1
MPLP,europe,36,package-1,547.772,1
MPLP,europe,36,dram,126.987,1
PLP,luxembourg,36,package-0,2.82256,1
PLP,luxembourg,36,dram,0.358663,1
PLP,luxembourg,36,package-1,2.9226,1
PLP,luxembourg,36,dram,0.415242,1
PLP,loc-gowalla_edges,36,package-0,11.3139,1
PLP,loc-gowalla_edges,36,dram,1.17686,1
PLP,loc-gowalla_edges,36,package-1,11.1013,1
PLP,loc-gowalla_edges,36,dram,1.26015,1
PLP,kkt_power,36,package-0,70.5131,1
PLP,kkt_power,36,dram,6.65461,1
PLP,kkt_power,36,package-1,59.4226,1
PLP,kkt_power,36,dram,7.56105,1
MPLP,luxembourg,36,package-0,2.84118,1
MPLP,luxembourg,36,dram,0.690458,1
MPLP,luxembourg,36,package-1,6.48387,1
MPLP,luxembourg,36,dram,0.700801,1
MPLP,loc-gowalla_edges,36,package-0,5.66399,1
MPLP,loc-gowalla_edges,36,dram,1.27132,1
MPLP,loc-gowalla_edges,36,package-1,12.7765,1
MPLP,loc-gowalla_edges,36,dram,1.17848,1
MPLP,kkt_power,36,package-0,40.639,1
MPLP,kkt_power,36,dram,5.72179,1
MPLP,kkt_power,36,package-1,50.3144,1
MPLP,kkt_power,36,dram,5.23554,1
PLP,roadNet-PA,36,package-0,46.0992,1
PLP,roadNet-PA,36,dram,5.03477,1
PLP,roadNet-PA,36,package-1,42.604,1
PLP,roadNet-PA,36,dram,4.49138,1
PLP,netherlands,36,package-0,76.1559,1
PLP,netherlands,36,dram,8.92835,1
PLP,netherlands,36,package-1,73.0801,1
PLP,netherlands,36,dram,7.00795,1
MPLP,roadNet-PA,36,package-0,15.463,1
MPLP,roadNet-PA,36,dram,3.21577,1
MPLP,roadNet-PA,36,package-1,29.9697,1
MPLP,roadNet-PA,36,dram,2.87755,1
MPLP,netherlands,36,package-0,35.877,1
MPLP,netherlands,36,dram,5.73603,1
MPLP,netherlands,36,package-1,43.1247,1
MPLP,netherlands,36,dram,4.2364,1
PLP,uk-2002,36,package-0,442.66,1
PLP,uk-2002,36,dram,50.8582,1
PLP,uk-2002,36,package-1,424.309,1
PLP,uk-2002,36,dram,42.3886,1
MPLP,uk-2002,36,package-0,221.354,1
MPLP,uk-2002,36,dram,44.8965,1
MPLP,uk-2002,36,package-1,246.407,1
MPLP,uk-2002,36,dram,49.6083,1
PLP,333SP,36,package-0,173.514,1
PLP,333SP,36,dram,19.3165,1
PLP,333SP,36,package-1,165.837,1
PLP,333SP,36,dram,22.2276,1
PLP,nlpkkt200,36,package-0,10679.4,1
PLP,nlpkkt200,36,dram,924.71,1
PLP,nlpkkt200,36,package-1,10843.9,1
PLP,nlpkkt200,36,dram,1226.05,1
MPLP,333SP,36,package-0,78.7643,1
MPLP,333SP,36,dram,13.0126,1
MPLP,333SP,36,package-1,77.5688,1
MPLP,333SP,36,dram,13.1222,1
PLP,M6,36,package-0,94.817,1
PLP,M6,36,dram,9.32145,1
PLP,M6,36,package-1,84.3952,1
PLP,M6,36,dram,10.0959,1
PLP,AS365,36,package-0,157.441,1
PLP,AS365,36,dram,14.8423,1
