GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine
Oregon-2,MPLP,11806,32730,0.0588765,0.975171,385,0.122665,25,0,11,0,0,36,LL,0,0
nlpkkt200,MPLP,16240000,215992816,21.1519,695.85,2629085,0.361239,25,0,19289,0,0,36,LL,0,0
NLR,MPLP,4163763,12487976,1.0058,18.2942,108154,0.813683,25,0,405,0,0,36,LL,0,0
asia,PLP,11950757,12711603,2.12571,68.9511,155907,0.96889,25,0,2063,0,0,36,LL,0,0
asia,MPLP,11950757,12711603,1.89107,27.6106,155655,0.968924,25,0,506,0,0,36,LL,0,0
belgium,PLP,1441295,1549970,0.290682,10.1192,29905,0.950307,25,0,268,0,0,36,LL,0,0
belgium,MPLP,1441295,1549970,0.339524,7.44328,29587,0.950752,25,0,94,0,0,36,LL,0,0
delaunay_n24,PLP,16777216,50331601,11.2903,401.322,517088,0.809167,25,0,11249,0,0,36,LL,0,0
delaunay_n24,MPLP,16777216,50331601,3.29557,52.4154,516467,0.809397,25,0,1279,0,0,36,LL,0,0
europe,PLP,50912018,54054660,9.20369,327.487,899599,0.961691,25,0,9124,0,0,36,LL,0,0
europe,MPLP,50912018,54054660,8.3196,102.228,905863,0.961407,25,0,2478,0,0,36,LL,0,0
in-2004,PLP,1382908,13591473,0.306074,10.5606,25936,0.940095,25,0,288,0,0,36,LL,0,0
germany,PLP,11548845,12369181,2.0756,73.1497,256046,0.953981,25,0,2015,0,0,36,LL,0,0
in-2004,MPLP,1382908,13591473,0.257916,5.68689,25787,0.940471,25,0,90,0,0,36,LL,0,0
germany,MPLP,11548845,12369181,1.99272,31.4861,255864,0.954006,25,0,662,0,0,36,LL,0,0
kkt_power,PLP,2063494,6482320,0.567073,19.3782,38000,0.757416,25,0,537,0,0,36,LL,0,0
kkt_power,MPLP,2063494,6482320,0.411852,11.0769,38045,0.757267,25,0,184,0,0,36,LL,0,0
loc-gowalla_edges,PLP,196591,950327,0.074938,2.309,484,0.579429,25,0,54,0,0,36,LL,0,0
loc-gowalla_edges,MPLP,196591,950327,0.108816,1.84713,86,0.491247,25,0,62,0,0,36,LL,0,0
luxembourg,PLP,114599,119666,0.0486911,1.21612,1901,0.965469,25,0,17,0,0,36,LL,0,0
netherlands,PLP,2216688,2441238,0.49982,16.5661,92752,0.918174,25,0,480,0,0,36,LL,0,0
luxembourg,MPLP,114599,119666,0.0602546,1.15948,1847,0.965698,25,0,6,0,0,36,LL,0,0
netherlands,MPLP,2216688,2441238,0.603526,11.9147,92089,0.918634,25,0,336,0,0,36,LL,0,0
roadNet-PA,PLP,1088092,1541898,0.157895,5.18516,31668,0.900216,25,0,143,0,0,36,LL,0,0
